date,price,volume
2023-01-01,504.12502807953683,9272
2023-01-08,489.3068563889906,9295
2023-01-15,512.8329475415535,7424
2023-01-22,491.25102052313065,4368
2023-01-29,507.6747615783761,5354
2023-02-05,487.4847985193033,6720
2023-02-12,495.948825505741,1232
2023-02-19,508.0821742614745,5351
2023-02-26,491.6036529147759,8943
2023-03-05,506.8992644371755,4522
2023-03-12,495.7392213353384,2099
2023-03-19,501.1897797642985,9894
2023-03-26,491.20310529583503,2849
2023-04-02,518.3290225534723,6794
2023-04-09,504.1767660742689,4265
2023-04-16,503.40836782442744,8979
2023-04-23,505.55245756879225,6193
2023-04-30,486.3983293197339,6743
2023-05-07,489.3641286242721,1721
2023-05-14,537.3749313753358,9462
2023-05-21,500.0958756390966,2878
2023-05-28,484.29358673128337,6659
2023-06-04,525.3601937216437,8853
2023-06-11,509.7814847920945,3341
2023-06-18,479.27341721237775,5500
2023-06-25,484.102590307773,3475
2023-07-02,495.0293331606125,5870
2023-07-09,488.75621611483365,3154
2023-07-16,502.06369441088367,8635
2023-07-23,488.99924769226993,6748
2023-07-30,500.38119284764355,9056
2023-08-06,504.08432885996393,8537
2023-08-13,503.7853112137862,1662
2023-08-20,508.2992334249988,8208
2023-08-27,518.3692357059332,6734
2023-09-03,512.1135519951057,2559
2023-09-10,504.05773843751194,7558
2023-09-17,503.9807531770685,7027
2023-09-24,488.1335422816551,3169
2023-10-01,490.52767892201973,4633
2023-10-08,503.66682466170386,2418
2023-10-15,487.25651374432243,1797
2023-10-22,503.788057471933,5037
2023-10-29,501.0191991289008,7560
2023-11-05,515.6580613499456,1431
2023-11-12,484.4803052156483,3160
2023-11-19,483.1568004756082,3530
2023-11-26,496.3312424624156,5639
2023-12-03,476.84951257002785,5427
2023-12-10,488.20287904223096,7957
2023-12-17,504.11898677438165,1763
2023-12-24,498.4515840284588,1110
